date,steps
2023-02-18,5193
2023-02-19,573
2023-02-20,4200
2023-02-21,9567
2023-02-22,4855
2023-02-23,7630
2023-02-24,1625
2023-02-25,6825
2023-02-26,9457
2023-02-27,6694
2023-02-28,6164
2023-03-01,4433
2023-03-02,8965
2023-03-03,5801
2023-03-04,2192
2023-03-05,9817
2023-03-06,6868
2023-03-07,6591
2023-03-08,6639
2023-03-09,3930
2023-03-10,5236
2023-03-11,10831
2023-03-12,3792
2023-03-13,7185
2023-03-14,9209
2023-03-15,8994
2023-03-16,9181
2023-03-17,3798
2023-03-18,9469
2023-03-19,5567
2023-03-20,6998
2023-03-21,1735
2023-03-22,7543
2023-03-23,7671
2023-03-24,6125
2023-03-25,4687
2023-03-26,1238
2023-03-27,2054
2023-03-28,794
2023-03-29,4489
2023-03-30,704
2023-03-31,1262
2023-04-01,780
2023-04-02,1673
2023-04-03,4721
2023-04-04,6595
2023-04-05,5067
2023-04-06,6730
2023-04-07,12783
2023-04-08,6392
2023-04-09,8106
2023-04-10,11369
2023-04-11,6083
2023-04-12,8943
2023-04-13,5573
2023-04-14,6797
2023-04-15,7204
2023-04-16,9504
2023-04-17,5555
2023-04-18,1112
2023-04-19,3471
2023-04-20,5237
2023-04-21,2614
2023-04-22,11165
2023-04-23,6457
2023-04-24,5714
2023-04-25,1699
2023-04-26,6071
2023-04-27,2618
2023-04-28,5652
2023-04-29,7208
2023-04-30,2845
2023-05-01,6357
2023-05-02,1334
2023-05-03,10478
2023-05-04,8959
2023-05-05,5973
2023-05-06,8334
2023-05-07,6013
2023-05-08,5534
2023-05-09,6398
2023-05-10,8324
2023-05-11,2213
2023-05-12,7386
2023-05-13,10636
2023-05-14,8757
2023-05-15,1795
2023-05-16,4662
2023-05-17,4795
2023-05-18,2346
2023-05-19,5460
2023-05-20,12570
2023-05-21,14586
2023-05-22,10756
2023-05-23,8008
2023-05-24,12558
2023-05-25,12422
2023-05-26,11773
2023-05-27,20458
2023-05-28,10143
2023-05-29,17112
2023-05-30,12252
2023-05-31,11009
2023-06-01,15730
2023-06-02,8617
2023-06-03,18929
2023-06-04,11053
2023-06-05,11526
2023-06-06,11420
2023-06-07,10386
2023-06-08,11659
2023-06-09,11576
2023-06-10,7082
2023-06-11,22124
2023-06-12,10360
2023-06-13,14873
2023-06-14,6165
2023-06-15,13506
2023-06-16,7708
2023-06-17,11238
2023-06-18,10451
2023-06-19,14268
2023-06-20,15610
2023-06-21,13737
2023-06-22,9182
2023-06-23,8038
2023-06-24,15968
2023-06-25,15382
2023-06-26,5746
2023-06-27,11110
2023-06-28,10257
2023-06-29,11042
2023-06-30,3938
2023-07-01,14347
2023-07-02,9912
2023-07-03,4891
2023-07-04,8217
2023-07-05,8391
2023-07-06,11683
2023-07-07,8210
2023-07-08,14277
2023-07-09,11223
2023-07-10,4582
2023-07-11,9248
2023-07-12,9628
2023-07-13,13441
2023-07-14,8766
2023-07-15,14337
2023-07-16,15472
2023-07-17,2978
2023-07-18,7245
2023-07-19,9254
2023-07-20,8437
2023-07-21,7749
2023-07-22,15032
2023-07-23,10552
2023-07-24,4822
2023-07-25,9541
2023-07-26,10346
2023-07-27,9544
2023-07-28,6138
2023-07-29,8255
2023-07-30,5648
2023-07-31,10738
2023-08-01,9988
2023-08-02,3358
2023-08-03,5617
2023-08-04,9085
2023-08-05,8681
2023-08-06,7156
2023-08-07,8627
2023-08-08,11661
2023-08-09,7314
2023-08-10,10943
2023-08-11,8267
2023-08-12,6043
2023-08-13,7500
2023-08-14,13259
2023-08-15,6145
2023-08-16,13102
2023-08-17,9548
2023-08-18,6751
2023-08-19,2177
2023-08-20,4018
2023-08-21,17272
2023-08-22,9372
2023-08-23,12219
2023-08-24,5093
2023-08-25,12686
2023-08-26,5187
2023-08-27,9218
2023-08-28,9935
2023-08-29,13774
2023-08-30,10868
2023-08-31,6695
2023-09-01,15084
2023-09-02,2682
2023-09-03,12962
2023-09-04,6727
2023-09-05,9957
2023-09-06,16683
2023-09-07,11862
2023-09-08,4369
2023-09-09,873
2023-09-10,1128
2023-09-11,5972
2023-09-12,4250
2023-09-13,14947
2023-09-14,13115
2023-09-15,12326
2023-09-16,7078
2023-09-17,10125
2023-09-18,12250
2023-09-19,7678
2023-09-20,11610
2023-09-21,7167
2023-09-22,4607
2023-09-23,12189
2023-09-24,6766
2023-09-25,10467
2023-09-26,7722
2023-09-27,8188
2023-09-28,6490
2023-09-29,6747
2023-09-30,7024
2023-10-01,4132
2023-10-02,9694
2023-10-03,7322
2023-10-04,9453
2023-10-05,10806
2023-10-06,7324
2023-10-07,5049
2023-10-08,4930
2023-10-09,16031
2023-10-10,8398
2023-10-11,8061
2023-10-12,14008
2023-10-13,7481
2023-10-14,9755
2023-10-15,7559
2023-10-16,13139
2023-10-17,5600
2023-10-18,9110
2023-10-19,6684
2023-10-20,5567
2023-10-21,15942
2023-10-22,5329
2023-10-23,10379
2023-10-24,6678
2023-10-25,8496
2023-10-26,13732
2023-10-27,11054
2023-10-28,9228
2023-10-29,10422
2023-10-30,10010
2023-10-31,9388
2023-11-01,10801
2023-11-02,4000
2023-11-03,8652
2023-11-04,6398
2023-11-05,4507
2023-11-06,10940
2023-11-07,4039
2023-11-08,9754
